Reads,Sample
14194164,A12
128653396,B3
24343660,C1
29766884,A1
13701812,A7
233065860,unMatched
277228292,C4
42632848,A10
32712764,B9
40783220,B7
14194164,A12
39409032,C9
24343660,C1
29766884,A1
37058460,A2
41513464,B10
59147472,A3
26443428,B2
42632848,A10
20903104,A5
25430624,C2
32312228,A8
128653396,B3
29800804,B1
32656892,B4
59147472,A3
156596592,C10
233065860,unMatched
32712764,B9
64651580,A11
17992544,C3
29800804,B1
26443428,B2
20903104,A5
32312228,A8
17992544,C3
156596592,C10
41513464,B10
15334560,C7
37058460,A2
39409032,C9
13701812,A7
25430624,C2
277228292,C4
64651580,A11
16653256,B8
15334560,C7
32656892,B4
16653256,B8
40783220,B7
2905973880,total
